Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u1	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u2	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u3	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Diputado/a	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u4	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u5	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Diputado/a	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u6	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u7	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Diputado/a	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u8	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u9	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Cs	Ciudadanos	Opposition	Centro-derecha	InésArrimadasGarcía	Arrimadas García, Inés	F	1981	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u10	Sesión plenaria núm. 239 (2023-02-23)	2023-02-23	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
