Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u1	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u2	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u3	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u4	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u5	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u6	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u7	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Regular	MP	Minister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	MaríaJesúsMonteroCuadrado	Montero Cuadrado, María Jesús	F	1966	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u8	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u9	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	InésArrimadasGarcía	Arrimadas García, Inés	F	1981	
ParlaMint-ES_2023-02-23-CD230223	ParlaMint-ES_2023-02-23-CD230223.u10	Plenary session 239 (2023-02-23)	2023-02-23	Lower house	Legislatura XIV	Sesión plenaria núm. 239	-	2023-02-23	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
