Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u17	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	AndrésAlbertoRodríguezAlmeida	Rodríguez Almeida, Andrés Alberto	M	1978	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u18	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u19	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	AnaMaríaZuritaExpósito	Zurita Expósito, Ana María	F	1963	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u20	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u21	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	MaríaTamaraRayaRodríguez	Raya Rodríguez, María Tamara	F	1972	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u22	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u23	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u24	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	CésarSánchezPérez	Sánchez Pérez, César	M	1978	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u25	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u26	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP	Partido Popular	Opposition	Centro-derecha - Derecha	CésarSánchezPérez	Sánchez Pérez, César	M	1978	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u27	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u28	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centro-derecha - Derecha	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u29	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u30	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centro	IdoiaSagastizabalUnzetabarrenetxea	Sagastizabal Unzetabarrenetxea, Idoia	F	1972	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u31	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u32	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Cs	Ciudadanos	Opposition	Centro-derecha	JuanIgnacioLópezBasValero	López-Bas Valero, Juan Ignacio	M	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u33	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u34	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	JxCat-Junts	Junts per Catalunya	Opposition	Centro-derecha	SergiMiqueliValentí	Miquel i Valentí, Sergi	M	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u35	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u36	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	FrancescXavierEritjaCiuró	Eritja Ciuró, Francesc Xavier	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u37	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u38	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	UP	Unidas Podemos	Coalition	Izquierda	EzequielGarcíaNieto	García Nieto, Ezequiel	M	1975	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u39	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u40	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Vox	Vox	Opposition	Derecha - Extrema derecha	FranciscoJoséContrerasPeláez	Contreras Peláez, Francisco José	M	1964	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u41	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u42	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	EvaPatriciaBuenoCampanario	Bueno Campanario, Eva Patricia	F	1971	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u43	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u44	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	EvaPatriciaBuenoCampanario	Bueno Campanario, Eva Patricia	F	1971	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u45	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u46	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u47	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	Centro-izquierda	ArnauRamírezCarner	Ramírez Carner, Arnau	M	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u48	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Presidencia	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centro-izquierda	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u49	Sesión plenaria núm. 231 (2023-02-07)	2023-02-07	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	Centro-izquierda	ArnauRamírezCarner	Ramírez Carner, Arnau	M	1989	
