Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u1	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u2	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u3	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u4	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u5	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u6	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Left to far-left	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u7	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u8	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centre	JosebaAndoniAgirretxeaUrresti	Agirretxea Urresti, Joseba Andoni	M	1966	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u9	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u10	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	Cs	Ciudadanos	Opposition	Centre-right	SaraGiménezGiménez	Giménez Giménez, Sara	F	1977	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u11	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u12	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Regular	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Left	NéstorRegoCandamil	Rego Candamil, Néstor	M	1962	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u13	Plenary session 236 (2023-02-16)	2023-02-16	Lower house	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
