Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u1	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u2	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	ConcepciónGamarraRuizClavijo	Gamarra Ruiz-Clavijo, Concepción	F	1974	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u3	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u4	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u5	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	ConcepciónGamarraRuizClavijo	Gamarra Ruiz-Clavijo, Concepción	F	1974	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u6	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u7	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u8	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u9	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	PedroSánchezPérezCastejón	Sánchez Pérez-Castejón, Pedro	M	1972	
ParlaMint-ES_2023-02-15-CD230215	ParlaMint-ES_2023-02-15-CD230215.u10	Plenary session 235 (2023-02-15)	2023-02-15	Lower house	Legislatura XIV	Sesión plenaria núm. 235	-	2023-02-15	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
