Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u1	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u2	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u3	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u4	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	CarlosGarcíaAdanero	García Adanero, Carlos	M	1967	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u5	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u6	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	CUP-PR	Candidatura d'Unitat Popular	Opposition	Izquierda - Extrema izquierda	MireiaVehíCantenys	Vehí Cantenys, Mireia	F	1985	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u7	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u8	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	EAJ-PNV	Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco	Opposition	Centro	JosebaAndoniAgirretxeaUrresti	Agirretxea Urresti, Joseba Andoni	M	1966	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u9	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u10	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Cs	Ciudadanos	Opposition	Centro-derecha	SaraGiménezGiménez	Giménez Giménez, Sara	F	1977	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u11	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u12	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	BNG	Bloque Nacionalista Galego	Opposition	Izquierda	NéstorRegoCandamil	Rego Candamil, Néstor	M	1962	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u13	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u14	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Más País-Equo	Más País - Equo	Opposition	Centro-izquierda - izquierda	ÍñigoErrejónGalván	Errejón Galván, Íñigo	M	1983	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u15	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u16	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	Más País-Equo	Más País - Equo	Opposition	Centro-izquierda - izquierda	ÍñigoErrejónGalván	Errejón Galván, Íñigo	M	1983	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u17	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u18	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centro-izquierda - izquierda	PilarVallugeraBalañà	Vallugera Balañà, Pilar	F	1967	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u19	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u20	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	UP	Unidas Podemos	Coalition	Izquierda	LucíaMuñozDalda	Muñoz Dalda, Lucía	F	1993	
ParlaMint-ES_2023-02-16-CD230216	ParlaMint-ES_2023-02-16-CD230216.u21	Sesión plenaria núm. 236 (2023-02-16)	2023-02-16	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 236	-	2023-02-16	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
