Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u19	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	AnaMaríaZuritaExpósito	Zurita Expósito, Ana María	F	1963	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u20	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u21	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	MaríaTamaraRayaRodríguez	Raya Rodríguez, María Tamara	F	1972	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u22	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u23	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u24	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	CésarSánchezPérez	Sánchez Pérez, César	M	1978	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u25	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u26	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PP	Partido Popular	Opposition	Centre-right to right	CésarSánchezPérez	Sánchez Pérez, César	M	1978	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u27	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u28	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PP-Foro	Partido Popular - Foro Asturias	Opposition	Centre-right to right	IsidroManuelMartínezOblanca	Martínez Oblanca, Isidro Manuel	M	1956	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u29	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
