Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u1	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u2	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	BolañosGarcía	García, Bolaños	M	1975	
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u3	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u4	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	BolañosGarcía	García, Bolaños	M	1975	
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u5	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u6	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	-	-	-	-	BolañosGarcía	García, Bolaños	M	1975	
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u7	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u8	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	TE	¡Teruel Existe!	Opposition	Partido multicomprensivo	TomásGuitarteGimeno	Guitarte Gimeno, Tomás	M	1961	
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u9	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Presidencia	-	-	-	-	-	-	-	-	-	-
ParlaMint-ES_2023-01-24-CD230124	ParlaMint-ES_2023-01-24-CD230124.u10	Sesión plenaria núm. 230.- Extraordinaria (2023-01-24)	2023-01-24	Cámara Baja	Legislatura XIV	Sesión plenaria núm. 230.- Extraordinaria	-	2023-01-24	-	COVID,Guerra	Español	Diputado/a	MP	notMinister	TE	¡Teruel Existe!	Opposition	Partido multicomprensivo	TomásGuitarteGimeno	Guitarte Gimeno, Tomás	M	1961	
