speaker_id,gender,n_interventions
2028.X,M,98
2157.X,F,71
1765.X,F,32
2024.X,M,9
1977.X,M,16
1366.X,F,20
2075.X,M,10
2019.X,M,125
1688.X,F,122
1811.X,M,85
2056.X,M,54
895.X,M,184
2010.X,M,99
2055.X,M,116
1311.X,M,63
1225.X,M,77
3004.X,M,65
1648.X,F,44
2167.X,M,40
2111.X,F,63
2115.X,M,57
2107.X,F,11
1456.X,M,90
2134.X,M,96
2047.X,F,9
1740.X,M,1
1875.X,F,139
1792.X,F,67
2094.X,F,1
1787.X,F,82
2015.X,F,19
2185.X,M,93
2165.X,M,19
2054.X,M,17
2090.X,M,24
1272.X,M,7
2190.X,F,61
1378.X,F,11
2135.X,M,25
1531.X,M,57
1984.X,F,28
1987.X,F,24
2045.X,M,7
1797.X,M,46
1835.X,M,44
2038.X,M,53
2222.X,M,55
1818.X,M,8
2008.X,M,49
2126.X,M,45
2081.X,M,3
2080.X,F,35
2020.X,M,29
2138.X,M,10
1747.X,F,20
1351.X,M,18
2124.X,F,12
2197.X,F,2
2206.X,M,61
2087.X,M,39
2064.X,M,21
2097.X,M,10
1382.X,M,3
1574.X,F,53
1440.X,M,15
1731.X,M,14
1928.X,F,7
1685.X,F,12
1842.X,F,12
1422.X,M,26
2152.X,F,58
1682.X,M,10
1583.X,F,10
1794.X,M,15
2066.X,F,9
597.X,M,19
2214.X,M,3
1447.X,M,15
2108.X,M,12
1297.X,M,4
1744.X,F,2
1969.X,F,2
2059.X,F,41
1981.X,M,10
1453.X,M,15
1107.X,F,23
2029.X,M,9
1921.X,M,4
2146.X,F,4
1653.X,M,22
2161.X,M,34
1199.X,M,12
1891.X,M,14
2163.X,M,6
1464.X,F,6
1715.X,M,4
2017.X,F,1
2216.X,F,22
1985.X,F,5
2093.X,M,3
2016.X,F,13
2175.X,F,5
2221.X,M,4
2063.X,F,14
1011.X,M,67
2007.X,F,6
2101.X,F,14
2078.X,F,1
2105.X,M,30
2203.X,M,44
2061.X,M,9
2022.X,M,4
1698.X,M,5
1642.X,M,33
1562.X,M,1
638.X,M,8
2044.X,M,10
1613.X,F,7
1180.X,M,12
2036.X,M,3
2148.X,M,45
1189.X,M,7
2018.X,F,1
2099.X,M,10
1651.X,F,4
633.X,M,1
2001.X,F,15
1367.X,M,1
1117.X,M,5
2224.X,M,19
1975.X,M,6
1974.X,M,12
2189.X,M,4
2086.X,F,5
2213.X,M,16
2065.X,M,11
2143.X,F,5
2177.X,M,7
1462.X,M,2
1750.X,M,12
1840.X,F,1
1732.X,F,18
2062.X,M,7
2154.X,M,15
1549.X,M,9
2096.X,F,9
1846.X,F,3
2210.X,F,7
1752.X,M,6
2003.X,M,10
1468.X,F,12
2184.X,M,2
2204.X,M,7
1994.X,M,7
1425.X,F,4
1957.X,M,33
2067.X,F,11
2041.X,M,2
2205.X,M,6
2202.X,M,3
2198.X,M,2
2179.X,F,5
1394.X,M,7
1929.X,M,21
2071.X,M,1
2137.X,M,6
2145.X,M,6
2178.X,F,4
1988.X,F,2
1634.X,M,9
1833.X,M,8
1978.X,F,5
1578.X,F,11
1001.X,M,7
2207.X,M,5
1363.X,F,10
2170.X,M,14
1129.X,M,5
1412.X,F,2
1606.X,F,2
1972.X,F,5
1628.X,F,2
1800.X,M,2
2186.X,M,7
2068.X,F,3
590.X,F,9
2050.X,M,4
2118.X,M,2
2116.X,M,3
563.X,M,3
1986.X,M,2
1665.X,F,12
1836.X,F,2
1734.X,M,6
2026.X,F,2
1529.X,M,3
2089.X,M,9
1522.X,M,3
1910.X,M,5
2032.X,M,3
1863.X,F,2
2142.X,M,1
2053.X,F,5
1745.X,F,12
2005.X,F,1
1903.X,M,2
1047.X,F,2
1947.X,F,4
2176.X,F,7
2109.X,F,1
1742.X,F,3
1873.X,F,4
1889.X,M,1
2072.X,F,1
2011.X,F,2
1927.X,M,5
1604.X,M,3
2070.X,M,5
2130.X,F,2
1852.X,F,3
2194.X,F,9
2051.X,M,7
2052.X,F,1
1902.X,M,2
1349.X,M,1
2079.X,F,1
2006.X,M,3
2077.X,M,3
2102.X,F,2
1857.X,F,3
1712.X,F,3
1861.X,M,1
2106.X,M,1
1647.X,M,2
1973.X,M,1
2025.X,F,4
2201.X,M,3
1888.X,M,4
2085.X,M,2
2181.X,F,2
888.X,M,3
2166.X,F,1
1850.X,F,2
2169.X,F,2
1298.X,M,2
2132.X,M,1
1528.X,M,1
1610.X,F,3
2122.X,M,1
2095.X,F,3
1675.X,M,5
1881.X,F,2
2162.X,M,1
2149.X,M,1
2128.X,F,1
2092.X,M,4
2147.X,M,1
1800.X,F,2
1849.X,F,1
2046.X,F,1
2155.X,M,1
2139.X,F,1
1711.X,M,1
1995.X,M,1
2164.X,M,1
2113.X,F,1
1906.X,M,1
2212.X,M,1
2112.X,F,1
2193.X,F,1
1403.X,F,2
2083.X,M,2
2013.X,M,1
2199.X,M,1
1999.X,M,1
2110.X,F,1
2751.XIV,M,19
1977.XIV,M,78
2571.XIV,F,40
2499.XIV,M,18
2350.XIV,M,51
2515.XIV,M,7
2556.XIV,M,4
2687.XIV,M,6
2311.XIV,M,7
2405.XIV,M,22
2689.XIV,M,10
2754.XIV,F,12
2242.XIV,M,11
2288.XIV,M,16
2019.XIV,M,41
2789.XIV,M,67
2513.XIV,F,33
1684.XIV,M,16
2502.XIV,F,17
2741.XIV,F,7
2809.XIV,F,15
1765.XIV,F,15
2573.XIV,M,18
2628.XIV,M,24
864.XIV,M,19
2719.XIV,M,19
2835.XIV,M,24
2473.XIV,M,24
2489.XIV,F,35
2626.XIV,F,18
2722.XIV,F,16
2263.XIV,M,17
2318.XIV,M,9
2581.XIV,F,7
2338.XIV,M,12
2558.XIV,M,24
2149.XIV,M,15
2632.XIV,F,3
2280.XIV,F,27
2460.XIV,M,20
2475.XIV,M,9
2779.XIV,M,14
2470.XIV,M,7
2429.XIV,F,11
2304.XIV,F,4
2706.XIV,M,4
2572.XIV,M,9
2334.XIV,M,3
2641.XIV,F,28
2717.XIV,M,32
2407.XIV,M,12
2608.XIV,F,3
2555.XIV,M,1
2027.XIV,F,2
2615.XIV,M,14
2798.XIV,M,8
2521.XIV,M,1
2336.XIV,M,20
2762.XIV,F,3
2491.XIV,F,9
2699.XIV,M,6
2610.XIV,F,2
2792.XIV,M,4
2498.XIV,F,5
2745.XIV,F,2
2387.XIV,F,2
2683.XIV,M,6
2287.XIV,M,14
2746.XIV,M,5
2732.XIV,M,1
2525.XIV,F,4
2658.XIV,M,5
2534.XIV,F,16
2547.XIV,F,13
2698.XIV,F,6
2653.XIV,M,8
2672.XIV,F,4
2580.XIV,F,4
3005.XIV,F,34
2673.XIV,M,7
3006.XIV,M,23
720.XIV,M,3
2567.XIV,M,37
2662.XIV,F,30
1786.XIV,F,12
2599.XIV,M,7
2786.XIV,F,13
2761.XIV,F,10
2321.XIV,M,7
2412.XIV,M,2
2647.XIV,M,8
2516.XIV,M,22
2518.XIV,F,5
2604.XIV,M,10
1297.XIV,M,4
2223.XIV,M,2
2401.XIV,M,17
3003.XIV,F,65
2725.XIV,F,24
2656.XIV,F,8
3008.XIV,F,14
2634.XIV,F,36
1628.XIV,F,9
2593.XIV,M,21
1835.XIV,M,16
2714.XIV,M,8
2207.XIV,M,11
2562.XIV,F,3
2379.XIV,F,1
2680.XIV,M,2
2583.XIV,F,7
2596.XIV,F,2
3010.XIV,M,1
2763.XIV,M,2
2619.XIV,F,11
2644.XIV,F,4
2721.XIV,M,1
2591.XIV,F,15
2557.XIV,M,3
2724.XIV,F,7
2802.XIV,M,7
2509.XIV,F,1
2538.XIV,M,7
2729.XIV,F,10
2685.XIV,M,3
2370.XIV,F,17
2359.XIV,M,3
2803.XIV,M,2
2108.XIV,M,12
2671.XIV,F,12
2756.XIV,M,4
2600.XIV,M,3
1812.XIV,M,3
2575.XIV,M,2
2700.XIV,F,9
2095.XIV,F,10
2364.XIV,F,37
638.XIV,M,8
2686.XIV,M,10
1734.XIV,M,7
2778.XIV,M,3
2469.XIV,F,2
2237.XIV,M,18
2737.XIV,M,2
2791.XIV,M,2
2801.XIV,M,1
2584.XIV,F,17
2675.XIV,F,5
2146.XIV,F,6
2780.XIV,F,3
2796.XIV,M,4
2483.XIV,M,2
2511.XIV,M,3
2807.XIV,F,8
2640.XIV,F,10
1742.XIV,F,5
2520.XIV,F,3
2477.XIV,M,2
2376.XIV,F,2
2720.XIV,M,4
2755.XIV,F,1
1827.XIV,F,6
2595.XIV,F,3
2739.XIV,M,1
2726.XIV,M,2
2799.XIV,M,3
1681.XIV,M,7
2770.XIV,F,4
2711.XIV,M,3
1606.XIV,F,6
3013.XIV,F,5
3021.XIV,F,2
2622.XIV,F,5
2486.XIV,F,6
2104.XIV,F,5
2377.XIV,F,4
2588.XIV,M,1
1745.XIV,F,5
2766.XIV,M,6
2537.XIV,M,1
2708.XIV,M,2
2776.XIV,F,2
2718.XIV,F,1
2750.XIV,F,1
2774.XIV,M,1
1986.XIV,M,2
2710.XIV,M,3
2543.XIV,M,5
2248.XIV,F,3
2344.XIV,F,1
2559.XIV,F,3
2482.XIV,M,1
2561.XIV,F,7
2696.XIV,F,2
2677.XIV,F,2
1975.XIV,M,1
1415.XIV,F,5
2316.XIV,M,4
1378.XIV,F,3
1836.XIV,F,2
2617.XIV,F,8
2143.XIV,F,1
2693.XIV,M,1
2570.XIV,M,5
2564.XIV,M,3
2578.XIV,M,2
3022.XIV,M,2
2767.XIV,M,6
2728.XIV,M,6
2503.XIV,M,1
2373.XIV,M,1
2727.XIV,M,3
2661.XIV,M,5
2758.XIV,M,1
2025.XIV,F,2
2781.XIV,M,1
2410.XIV,M,4
2811.XIV,M,1
2643.XIV,F,3
2783.XIV,F,1
2749.XIV,F,4
2657.XIV,F,7
2268.XIV,M,4
2715.XIV,M,2
2709.XIV,F,2
2319.XIV,F,1
2736.XIV,M,1
1356.XIV,M,6
2659.XIV,M,2
2765.XIV,M,1
2712.XIV,F,4
2545.XIV,F,3
2764.XIV,F,1
2800.XIV,M,3
2621.XIV,M,2
2105.XIV,M,1
2716.XIV,M,2
2704.XIV,F,2
2103.XIV,M,2
2740.XIV,M,1
2810.XIV,M,3
2804.XIV,F,1
2614.XIV,F,1
2481.XIV,M,3
1486.XIV,M,2
2753.XIV,M,2
2262.XIV,F,2
2594.XIV,F,12
3009.XIV,M,9
2011.XIV,F,4
1973.XIV,M,1
2668.XIV,F,3
2533.XIV,F,2
2678.XIV,M,2
2795.XIV,M,1
2655.XIV,F,1
2694.XIV,M,1
2757.XIV,F,2
2175.XIV,F,4
2500.XIV,M,1
2782.XIV,F,1
2703.XIV,F,1
2357.XIV,M,5
2713.XIV,M,1
2805.XIV,F,2
2616.XIV,M,1
2386.XIV,M,2
2793.XIV,F,2
2769.XIV,M,1
2546.XIV,M,2
2354.XIV,M,1
2747.XIV,M,2
1698.XIV,M,2
2574.XIV,F,2
2506.XIV,F,1
2794.XIV,M,1
2775.XIV,F,1
2589.XIV,F,1
2631.XIV,M,1
2768.XIV,M,1
2691.XIV,F,1
2784.XIV,F,1
2180.XIV,M,2
2785.XIV,F,1
2748.XIV,M,1
2610.XV,F,2
1734.XV,M,1
2368.XV,F,1
2966.XV,F,13
2571.XV,F,12
1297.XV,M,2
2878.XV,F,2
2095.XV,F,2
2653.XV,M,8
3019.XV,M,3
3011.XV,F,7
2405.XV,M,20
2502.XV,F,11
2852.XV,M,1
1835.XV,M,5
2789.XV,M,26
2841.XV,M,12
2985.XV,M,8
2884.XV,F,1
2370.XV,F,8
2567.XV,M,5
2334.XV,M,2
2786.XV,F,2
2722.XV,F,6
2518.XV,F,4
2922.XV,F,6
2952.XV,M,10
2951.XV,M,16
2931.XV,M,41
2499.XV,M,8
2687.XV,M,11
2429.XV,F,4
1684.XV,M,8
2994.XV,F,16
2111.XV,F,3
2473.XV,M,5
1977.XV,M,30
864.XV,M,8
2280.XV,F,10
2989.XV,M,14
2318.XV,M,2
2547.XV,F,7
2765.XV,M,1
3002.XV,M,3
2690.XV,M,2
1745.XV,F,2
2899.XV,M,1
3010.XV,M,7
1903.XV,M,4
2982.XV,M,3
2902.XV,F,4
2336.XV,M,8
2967.XV,M,1
2600.XV,M,2
3026.XV,F,1
2885.XV,M,1
2974.XV,M,1
2632.XV,F,1
2146.XV,F,1
638.XV,M,6
2412.XV,M,6
2916.XV,M,1
2401.XV,M,1
2836.XV,M,1
3027.XV,F,1
2706.XV,M,3
2384.XV,M,2
2735.XV,F,1
2614.XV,F,1
3020.XV,M,3
2798.XV,M,4
2658.XV,M,4
2861.XV,M,1
2987.XV,F,1
2969.XV,F,1
2700.XV,F,4
2108.XV,M,6
2845.XV,M,2
